cusnbr,ordqty_norm,shipqty_norm,unit_fill_rate_pct
906199,124.0,113.0,91.12903225806451
918529,160592.0,146577.0,91.27291521370928
7000293,293.0,268.0,91.46757679180887
918840,4938.0,4523.0,91.59578776832726
901637,305.0,280.0,91.80327868852459
917793,520364.0,478232.0,91.9033599557233
1069179,246913.0,227023.0,91.94453106964801
1050750,591.0,544.0,92.04737732656514
1024907,2931.0,2699.0,92.08461276015012
918633,2157.0,1987.0,92.11868335651367
919203,966399.0,891086.0,92.20684210145085
918977,73390.0,67762.0,92.3313802970432
881074,1106.0,1022.0,92.40506329113924
1067730,2130.0,1972.0,92.58215962441315
1045599,3063.0,2840.0,92.71955599085864
1064808,51125.0,47488.0,92.88606356968215
7001210,423.0,393.0,92.90780141843972
1049289,8770.0,8153.0,92.96465222348917
903069,261.0,243.0,93.10344827586206
1050247,1104.0,1028.0,93.1159420289855
690003,38989.0,36359.0,93.2545076816538
862138,1561.0,1457.0,93.33760409993594
1065581,100831.0,94119.0,93.34331703543553
897968,91.0,85.0,93.4065934065934
902908,4774.0,4462.0,93.46459991621282
927715,155403.0,145333.0,93.52007361505248
1086852,1948.0,1823.0,93.58316221765914
146807,81782.0,76548.0,93.60005869262184
1046561,346243.0,324211.0,93.63683886750057
1140109,16.0,15.0,93.75
866881,905.0,849.0,93.8121546961326
1048948,12126.0,11378.0,93.8314365825499
917465,3300.0,3099.0,93.9090909090909
1049495,4928.0,4629.0,93.93262987012987
552321,877382.0,824450.0,93.96705197963942
1045205,20772.0,19527.0,94.00635470826111
1050301,3112.0,2927.0,94.05526992287918
1060272,40106.0,37738.0,94.0956465366778
891043,2178.0,2052.0,94.21487603305785
1081397,1031.0,972.0,94.27740058195926
1046133,3622.0,3416.0,94.31253451131971
1046847,32724.0,30877.0,94.35582447133602
906758,604.0,570.0,94.37086092715232
614283,127462.0,120292.0,94.37479405626775
917166,66436.0,62701.0,94.37804804624
7001216,430.0,406.0,94.4186046511628
919654,937.0,885.0,94.4503735325507
1068071,1463.0,1382.0,94.46343130553657
1065461,33060.0,31231.0,94.46763460375075
1067538,129848.0,122714.0,94.50588380259997
553488,497.0,470.0,94.56740442655935
1008305,1642.0,1553.0,94.57978075517661
1061697,923.0,874.0,94.69122426868906
919394,146226.0,138473.0,94.69793333606883
1064725,40000.0,37880.0,94.7
553912,4144.0,3925.0,94.71525096525096
4116970,19.0,18.0,94.73684210526316
1045452,57.0,54.0,94.73684210526316
1067603,6344.0,6015.0,94.8139974779319
1068054,3723.0,3530.0,94.8160085952189
707247,12399.0,11758.0,94.83022824421325
1009492,78.0,74.0,94.87179487179488
1051206,32390.0,30744.0,94.91818462488422
1068447,40191.0,38164.0,94.95658231942474
863688,777.0,738.0,94.98069498069498
1064920,40.0,38.0,95.0
1067352,9845.0,9374.0,95.21584560690705
1086500,1820.0,1734.0,95.27472527472527
904860,4298.0,4096.0,95.30013959981386
904459,9093.0,8672.0,95.37006488507643
1064923,57443.0,54791.0,95.3832494820953
1051164,413.0,394.0,95.39951573849879
1067985,512548.0,489009.0,95.40745452133264
1066958,38017.0,36275.0,95.41783938764237
1065134,65363.0,62368.0,95.41789697535303
1067474,51574.0,49215.0,95.42598983984178
1235750,44.0,42.0,95.45454545454545
1067997,22.0,21.0,95.45454545454545
919312,541847.0,517309.0,95.47141536263926
146803,67.0,64.0,95.5223880597015
3200005,16382.0,15650.0,95.53168111341716
498749,90.0,86.0,95.55555555555556
1049594,9143.0,8747.0,95.66881767472383
919100,62487.0,59782.0,95.67109958871445
1067721,911.0,872.0,95.71899012074643
1046923,47.0,45.0,95.74468085106383
918033,116012.0,111101.0,95.76681722580423
1049785,901.0,863.0,95.78246392896781
1068183,570.0,546.0,95.78947368421052
1053072,523.0,501.0,95.79349904397705
906311,291411.0,279210.0,95.81312990930336
894322,5120.0,4911.0,95.91796875
918601,43199.0,41449.0,95.94898030046991
7001823,50.0,48.0,96.0
1049811,5840.0,5608.0,96.02739726027397
1045203,3425.0,3289.0,96.02919708029196
485113,792.0,761.0,96.08585858585859
1068015,204393.0,196495.0,96.13587549475764
1067281,36747.0,35332.0,96.14934552480474
918738,2389.0,2298.0,96.19087484303056
1045612,11215.0,10790.0,96.21043245653144
