item,ordqty_norm,shipqty_norm,unit_fill_rate_pct
AAG76-03-05    ,18.0,0.0,0.0
AAG76-950-05   ,64.0,0.0,0.0
AAG77-060-05   ,13.0,0.0,0.0
AAG77-075-05   ,4.0,0.0,0.0
AAG77-120-05   ,1.0,0.0,0.0
MMMPF150       ,1.0,0.0,0.0
MMMMW311BH     ,20.0,0.0,0.0
MMMMW311LE     ,4.0,0.0,0.0
MMMMW311MX     ,11.0,0.0,0.0
MMMPP2260      ,2.0,0.0,0.0
MMMOAC100      ,8.0,0.0,0.0
MMMOAC200      ,9.0,0.0,0.0
MMMPRO-VA      ,15.0,0.0,0.0
MMMPRO100      ,3.0,0.0,0.0
MMMPRO100-VP   ,13.0,0.0,0.0
AAG77-260-05   ,1.0,0.0,0.0
AAG77-865-05   ,1.0,0.0,0.0
AAG77-950-05   ,1.0,0.0,0.0
BFDOH29-BK,18.0,0.0,0.0
AAG80-011-05   ,9.0,0.0,0.0
AAG80-905-10   ,65.0,0.0,0.0
AAG80-909-10   ,10.0,0.0,0.0
MEA45354       ,3.0,0.0,0.0
MEA47772       ,4.0,0.0,0.0
MEA29636       ,1.0,0.0,0.0
MEA06780       ,32.0,0.0,0.0
MEA17102,2.0,0.0,0.0
MEA06070       ,1.0,0.0,0.0
MEA05510       ,4.0,0.0,0.0
MMMWR320LE     ,29.0,0.0,0.0
MMMWR511       ,1.0,0.0,0.0
AAG8058005     ,66.0,0.0,0.0
AAG86-715-05   ,12.0,0.0,0.0
AAGAY2-00,16.0,0.0,0.0
MMMWRJ320BE    ,1.0,0.0,0.0
MNB12928       ,102.0,0.0,0.0
MNB12929       ,142.0,0.0,0.0
MNB12931       ,4.0,0.0,0.0
MNB15150       ,531.0,0.0,0.0
MNB15160       ,24.0,0.0,0.0
MNB15161       ,20.0,0.0,0.0
MNK925075      ,6.0,0.0,0.0
MCG580         ,4.0,0.0,0.0
MRC4415        ,10.0,0.0,0.0
MNL0937401     ,1.0,0.0,0.0
MCG10521       ,4.0,0.0,0.0
MCG10604       ,9.0,0.0,0.0
MCG20010-435   ,17.0,0.0,0.0
AAGDMD15017    ,1.0,0.0,0.0
AAGDMD16200    ,1.0,0.0,0.0
MAXMF2-HD,1.0,0.0,0.0
MAXGX-MP6-120  ,3.0,0.0,0.0
MAX214049      ,93.0,0.0,0.0
MAX225M-MAMMOTH,16.0,0.0,0.0
MAX635129      ,28.0,0.0,0.0
MAX648150      ,2.0,0.0,0.0
MXNCP42GY,1.0,0.0,0.0
MXNCP66EGY,3.0,0.0,0.0
MXNCP66GY,6.0,0.0,0.0
MXNCWB2GY,2.0,0.0,0.0
MXNCWR4824TGY  ,1.0,0.0,0.0
MXNESP20BGYGY,10.0,0.0,0.0
MXNESP20BMGYGY,15.0,0.0,0.0
MXNKD2312GYGY,7.0,0.0,0.0
MAX183270      ,315.0,0.0,0.0
AAGDMD16432    ,21.0,0.0,0.0
AAGDMW40128    ,4.0,0.0,0.0
XER8R3683      ,1.0,0.0,0.0
MAVOB-3648B    ,1.0,0.0,0.0
MAVPFA-21      ,1.0,0.0,0.0
MAVPMR-721     ,2.0,0.0,0.0
MAVPMR-765     ,10.0,0.0,0.0
MXNCCS4824TGY,1.0,0.0,0.0
MXNPHS48GY,1.0,0.0,0.0
MXNPHS60GY,1.0,0.0,0.0
MXNPSC36STGY,4.0,0.0,0.0
MXNPWB1GY,102.0,0.0,0.0
BFDOH39-BK,43.0,0.0,0.0
MXNQC90GY,167.0,0.0,0.0
BFDOH39-BK     ,1.0,0.0,0.0
MXNUWR3060TMGY,1.0,0.0,0.0
MXNVFS36STGY,1.0,0.0,0.0
MXNVFS48STGY,3.0,0.0,0.0
MXNWC42GY,1.0,0.0,0.0
MXNWR6024TGYGY,5.0,0.0,0.0
XER8R3816      ,3.0,0.0,0.0
AAGE1017-50    ,1.0,0.0,0.0
AAGE403-16     ,10.0,0.0,0.0
MXNPBSGY,9.0,0.0,0.0
MATMVR24       ,1.0,0.0,0.0
MATMVRF12      ,1.0,0.0,0.0
BLDBDHF600T,2.0,0.0,0.0
NAT01645       ,15.0,0.0,0.0
MAT42020,5.0,0.0,0.0
MAT42030,3.0,0.0,0.0
AAGE445-16     ,2.0,0.0,0.0
AAGE458-50     ,2.0,0.0,0.0
MASSB20BS-BC   ,1.0,0.0,0.0
MAS91041       ,24.0,0.0,0.0
NEC20-140      ,1.0,0.0,0.0
NIB70450NIB0165,19.0,0.0,0.0
