cusnbr,activity,share_pct,cum_share_pct,rank
1067595,212420.0,10.52587764373358,10.52587764373358,1
919203,188391.0,9.335187906885476,19.861065550619056,2
1064799,180451.0,8.941743464313003,28.80280901493206,3
552321,154824.0,7.67186931698243,36.47467833191449,4
1068464,117745.0,5.834523411926421,42.30920174384091,5
919312,97725.0,4.842488432039658,47.15169017588057,6
1067985,89542.0,4.437002805645383,51.58869298152595,7
906311,61314.0,3.038243394444406,54.62693637597036,8
1046561,52508.0,2.601886749445263,57.22882312541562,9
917793,50897.0,2.522058160404425,59.75088128582005,10
1069179,37171.0,1.8419047071613825,61.59278599298143,11
917639,33639.0,1.6668863480724692,63.2596723410539,12
927715,32875.0,1.6290284697191482,64.88870081077305,13
1067754,29969.0,1.485029785825495,66.37373059659853,14
55560,23280.0,1.1535751414467457,67.52730573804529,15
918529,23244.0,1.1517912623620343,68.67909700040732,16
1068015,21063.0,1.0437179211465981,69.72281492155392,17
1067538,19895.0,0.9858409552870707,70.708655876841,18
1065168,18962.0,0.9396087556749654,71.64826463251596,19
1065835,18473.0,0.915377731440968,72.56364236395693,20
1064723,17778.0,0.8809389546666773,73.4445813186236,21
918033,17497.0,0.8670147873665683,74.31159610599018,22
1069153,17389.0,0.8616631501124339,75.17325925610261,23
918982,17290.0,0.8567574826294774,76.03001673873209,24
1067681,16898.0,0.8373330214848415,76.86734976021692,25
918977,16782.0,0.8315849666563268,77.69893472687325,26
146807,16639.0,0.8244990025142784,78.52343372938752,27
1064923,15858.0,0.7857987368153992,79.30923246620291,28
1068673,15824.0,0.7841139621242829,80.0933464283272,29
919569,15360.0,0.761121742810224,80.85446817113741,30
614396,14794.0,0.733075199422816,81.58754337056023,31
919394,14646.0,0.72574147429678,82.31328484485701,32
1173475,13933.0,0.6904107579801335,83.00369560283714,33
917166,12628.0,0.625745141159343,83.62944074399648,34
919100,12260.0,0.607509932737848,84.23695067673432,35
1065581,12137.0,0.6014150125317506,84.83836568926607,36
1066907,11862.0,0.5877881584124269,85.42615384767849,37
614283,10697.0,0.5300598491432921,85.95621369682178,38
1067474,10027.0,0.4968598772889399,86.45307357411072,39
1065134,8288.0,0.4106886070580167,86.86376218116874,40
1068237,7951.0,0.3939895167372455,87.25775169790599,41
917474,7942.0,0.39354354696606764,87.65129524487206,42
1068032,7884.0,0.3906695195518103,88.04196476442387,43
1068447,7083.0,0.35097820991698025,88.39294297434084,44
918601,7043.0,0.3489961220450786,88.74193909638592,45
1069066,6761.0,0.33502240254817217,89.0769614989341,46
1070299,6621.0,0.3280850949965165,89.4050465939306,47
1060272,6562.0,0.32516151538546156,89.73020810931607,48
1069110,6265.0,0.31044451293659203,90.04065262225267,49
1067281,6159.0,0.3051919800760527,90.34584460232871,50
1047350,6049.0,0.29974123842832323,90.64558584075704,51
1064808,5739.0,0.28438005742108563,90.92996589817812,52
1068996,5692.0,0.28205110417160123,91.21201700234973,53
634028,5096.0,0.25251799488026705,91.46453499722999,54
1051286,4782.0,0.23695860508583927,91.70149360231584,55
1050813,4467.0,0.22134966309461399,91.92284326541045,56
1064725,4460.0,0.22100279771703119,92.14384606312748,57
690003,4441.0,0.22006130597787793,92.36390736910536,58
1065461,4315.0,0.2138177291813878,92.57772509828675,59
1065336,4057.0,0.20103326240762232,92.77875836069437,60
1067738,3784.0,0.18750551268189372,92.96626387337626,61
1085574,3590.0,0.17789238650317085,93.14415625987944,62
919043,3479.0,0.17239209265864383,93.31654835253808,63
917212,3380.0,0.16748642517568732,93.48403477771376,64
1067390,3319.0,0.16446374117103735,93.6484985188848,65
1046847,3208.0,0.15896344732651033,93.8074619662113,66
1066958,3128.0,0.15499927158270707,93.96246123779402,67
1000802,3123.0,0.15475151059871936,94.11721274839273,68
1067727,2734.0,0.13547570604447606,94.2526884544372,69
1051206,2693.0,0.1334440659757769,94.38613252041299,70
1045062,2661.0,0.1318583956782556,94.51799091609124,71
1067825,2427.0,0.1202631816276311,94.63825409771887,72
1067643,2264.0,0.11218617354963198,94.7504402712685,73
9000037,2169.0,0.10747871485386562,94.85791898612237,74
691334,2061.0,0.10212707759973123,94.9600460637221,75
9000023,2059.0,0.10202797320613614,95.06207403692824,76
919426,1975.0,0.09786558867514274,95.15993962560339,77
841335,1899.0,0.09409962171852965,95.25403924732191,78
1057100,1881.0,0.09320768217617392,95.34724692949808,79
1050385,1865.0,0.09241484702741326,95.4396617765255,80
42431,1803.0,0.08934261082596574,95.52900438735146,81
1048756,1749.0,0.08666679219889856,95.61567117955036,82
919651,1608.0,0.07967993245044533,95.69535111200081,83
903112,1578.0,0.07819336654651911,95.77354447854732,84
1045205,1517.0,0.07517068254186914,95.84871516108919,85
1046291,1512.0,0.07492292155788143,95.92363808264707,86
918840,1504.0,0.0745265039835011,95.99816458663058,87
1067913,1441.0,0.07140471558525605,96.06956930221584,88
1047141,1438.0,0.07125605899486342,96.1408253612107,89
1077434,1426.0,0.07066143263329293,96.21148679384399,90
1045211,1406.0,0.06967038869734211,96.28115718254134,91
1024684,1370.0,0.06788650961263065,96.34904369215397,92
1049313,1367.0,0.06773785302223803,96.4167815451762,93
9000029,1303.0,0.06456651242719544,96.4813480576034,94
1067603,1302.0,0.0645169602303979,96.54586501783379,95
1067352,1236.0,0.06124651524176021,96.60711153307555,96
1062791,1134.0,0.05619219116841107,96.66330372424396,97
919665,1130.0,0.05599398238122091,96.71929770662518,98
1065309,1089.0,0.05396234231252174,96.7732600489377,99
917641,997.0,0.049403540207148,96.82266358914485,100
906580,982.0,0.04866025725518489,96.87132384640003,101
