vendor_id,quantity,share_pct,vendor_id_plot
SAN,311658.0,14.915769821096717,SAN
RDC,160171.0,7.665690494114967,RDC
AVE,141694.0,6.781392067684701,AVE
ACC,123298.0,5.900970253937275,ACC
S2E,110677.0,5.296936566651655,S2E
INU,93043.0,4.452983627772436,INU
ESS,90214.0,4.317589340368029,ESS
MMM,77649.0,3.716235780369312,MMM
S2B,57827.0,2.7675664396375512,S2B
QUA,50694.0,2.4261852264683625,QUA
G2C,44161.0,2.1135196628017,G2C
CRD,39110.0,1.8717817534062744,CRD
PIL,30713.0,1.4699062386184327,PIL
BIC,29976.0,1.434633849146164,BIC
TOP,27493.0,1.315798919621547,TOP
PEN,25888.0,1.2389845572022917,PEN
FEL,24701.0,1.1821754306031291,FEL
GUS,21273.0,1.0181133531120345,GUS
AVT,19347.0,0.9259361182089284,AVT
H2W,18672.0,0.8936310125185873,H2W
RAM,17945.0,0.8588372172046943,RAM
GBC,17348.0,0.8302651459496815,GBC
RED,15433.0,0.7386143646207882,RED
PAC,15046.0,0.7200927706916594,PAC
BAU,13717.0,0.656487607043566,BAU
PMC,13548.0,0.6483993657670213,PMC
SPZ,13136.0,0.628681286441954,SPZ
OIC,13032.0,0.6237039071948496,OIC
FSK,12380.0,0.592499568068772,FSK
ACM,12252.0,0.5863735628415667,ACM
G4P,11353.0,0.5433479480036163,G4P
ELD,11351.0,0.5432522291719412,ELD
AMP,11333.0,0.5423907596868653,AMP
XER,10005.0,0.47883345545460937,XER
ZPC,9636.0,0.46117333101055635,ZPC
CLI,9446.0,0.4520800420014234,CLI
ANG,9382.0,0.4490170393878206,ANG
LIO,9044.0,0.43284055683473144,LIO
RTG,8714.0,0.4170469496083425,RTG
BRT,8706.0,0.41666407428164215,BRT
IMP,8688.0,0.4158026047965664,IMP
SAM,7879.0,0.37708433738399477,SAM
MAX,7869.0,0.37660574322561935,MAX
BOS,7790.0,0.37282484937445354,BOS
BIN,7620.0,0.3646887486820713,BIN
ALL,7611.0,0.36425801393953344,ALL
ROG,7564.0,0.362008621395169,ROG
MMF,6925.0,0.3314264546749795,MMF
S2A,6919.0,0.3311392981799543,S2A
A2G,6805.0,0.3256833247744745,A2G
NUK,6741.0,0.3226203221608718,NUK
DIX,6721.0,0.32166313384412093,DIX
