item,activity,share_pct,cum_share_pct,rank
SPRSP111-1/3,7213.0,0.3574199955006605,0.3574199955006605,1
SPR85001,6612.0,0.3276391252253386,0.6850591207259991,2
SPR06120,6420.0,0.31812510344021083,1.00318422416621,3
SPR85009,6211.0,0.3077686943095248,1.3109529184757347,4
SPR87002,5917.0,0.29320034845104787,1.6041532669267826,5
SPRHB210,5690.0,0.28195199977800617,1.8861052667047888,6
SPZ51200,5591.0,0.27704633229504966,2.1631515989998387,7
SPR87005,5349.0,0.26505470067004483,2.4282062996698834,8
HEW51645A,4769.0,0.23631442652747126,2.6645207261973547,9
SAN30001,4766.0,0.2361657699370786,2.9006864961344334,10
HEWC6656AN,3450.0,0.17095507895151515,3.0716415750859487,11
SPR86000,3398.0,0.16837836471804304,3.2400199398039917,12
SPRW2011,3376.0,0.16728821638849714,3.4073081561924887,13
HEWC6578DN,3320.0,0.16451329336783488,3.5718214495603235,14
SPR19783,3277.0,0.16238254890554063,3.734203998465864,15
MMM6549-YW,2955.0,0.14642674153673255,3.8806307400025966,16
BICGSM11-BK,2887.0,0.14305719215449977,4.023687932157096,17
HEWC6615DN,2830.0,0.14023271693703998,4.163920649094136,18
MMM810-P10K,2781.0,0.1378046592939605,4.301725308388097,19
SPR64007,2704.0,0.13398914014054986,4.435714448528646,20
MMM62003/4X1296,2650.0,0.13131332151348266,4.567027770042129,21
SPR87010,2588.0,0.12824108531203512,4.695268855354164,22
SPR70215,2588.0,0.12824108531203512,4.823509940666199,23
SPR05711,2547.0,0.12620944524333597,4.9497193859095345,24
SPRSP52-1/5,2455.0,0.12165064313796224,5.071370029047497,25
HPG16200-8,2432.0,0.12051094261161881,5.191880971659115,26
SPR2011,2362.0,0.11704228883579096,5.308923260494907,27
BICGSM11-BE,2344.0,0.11615034929343522,5.425073609788342,28
HEWC6657AN,2330.0,0.11545661853826966,5.540530228326611,29
PAP331-11,2318.0,0.11486199217669917,5.655392220503311,30
PAP333-11,2251.0,0.11154199499126395,5.766934215494575,31
PAP564-01,2238.0,0.11089781643289592,5.877832031927471,32
SPR02300,2162.0,0.10713184947628283,5.984963881403754,33
QUA46065,2130.0,0.10554617917876154,6.090510060582516,34
SPR22147,2126.0,0.10534797039157137,6.195858030974088,35
GEPSX9,2095.0,0.1038118522908476,6.299669883264936,36
SPR60045,2031.0,0.10064051169580501,6.400310394960741,37
BRTTZ231,1963.0,0.09727096231357225,6.497581357274313,38
SPRSP52-1/3,1929.0,0.09558618762245587,6.593167544896769,39
PAP961-01,1928.0,0.09553663542565832,6.688704180322427,40
SPR505-2,1923.0,0.09528887444167063,6.783993054764097,41
TOM68620,1909.0,0.09459514368650505,6.878588198450602,42
AVE05160,1860.0,0.09216708604342556,6.970755284494028,43
SUG90585,1858.0,0.09206798164983049,7.062823266143859,44
CCS24302,1854.0,0.09186977286264032,7.154693039006499,45
SPR19788,1841.0,0.0912255943042723,7.2459186333107715,46
SPR08890,1835.0,0.09092828112348705,7.3368469144342585,47
ACC72585,1807.0,0.08954081961315591,7.426387734047414,48
MMM810-3/4X1296,1802.0,0.08929305862916821,7.515680792676582,49
NUKBR80C,1798.0,0.08909484984197805,7.60477564251856,50
SPRSP411-1/3,1781.0,0.08825246249641985,7.69302810501498,51
SUG90780,1776.0,0.08800470151243216,7.781032806527412,52
GEPFM20,1776.0,0.08800470151243216,7.869037508039844,53
SPRG69,1763.0,0.08736052295406413,7.956398030993908,54
HEWC7115A,1761.0,0.08726141856046904,8.043659449554378,55
PAP066-04,1751.0,0.08676589659249363,8.130425346146872,56
SPR00351,1743.0,0.08636947901811332,8.216794825164985,57
BICWOFQD12WHI,1721.0,0.08527933068856741,8.302074155853553,58
SPR01522,1720.0,0.08522977849176988,8.387303934345324,59
MMM654-YW,1696.0,0.0840405257686289,8.471344460113952,60
DIX1388-2,1691.0,0.08379276478464119,8.555137224898594,61
BRTTN250,1660.0,0.08225664668391744,8.637393871582512,62
SPRW2058,1639.0,0.08121605055116908,8.718609922133682,63
SPR05122,1621.0,0.08032411100881336,8.798934033142496,64
NES35110,1604.0,0.07948172366325516,8.878415756805751,65
PAP963-01,1602.0,0.07938261926966009,8.957798376075411,66
BRTPC-201,1590.0,0.07878799290808959,9.036586368983501,67
SPR05731,1584.0,0.07849067972730435,9.115077048710805,68
GEP230-00,1582.0,0.07839157533370927,9.193468624044515,69
SPR19772,1573.0,0.0779456055625314,9.271414229607046,70
SPR06420,1573.0,0.0779456055625314,9.349359835169578,71
SPR00408,1563.0,0.07745008359455599,9.426809918764134,72
GEPTM20,1562.0,0.07740053139775846,9.504210450161892,73
SWI35108,1556.0,0.07710321821697322,9.581313668378865,74
OIC99914,1545.0,0.07655814405220027,9.657871812431065,75
SPR08897,1536.0,0.0761121742810224,9.733983986712087,76
SPR117B-1LB,1533.0,0.07596351769062978,9.809947504402716,77
HEWC4127X,1531.0,0.0758644132970347,9.885811917699751,78
BICWOTAPP11,1526.0,0.075616652313047,9.961428570012798,79
MMMC38-BK,1517.0,0.07517068254186914,10.036599252554666,80
SPR60050,1510.0,0.07482381716428635,10.111423069718953,81
ACC72020,1500.0,0.07432829519631094,10.185751364915264,82
AVE08-888,1450.0,0.07185068535643391,10.257602050271698,83
PAP951-01,1445.0,0.0716029243724462,10.329204974644144,84
PAP563-01,1442.0,0.07145426778205358,10.400659242426197,85
HEWC4096A,1437.0,0.07120650679806588,10.471865749224264,86
SPR01539,1437.0,0.07120650679806588,10.543072256022331,87
SPR05741,1422.0,0.07046322384610276,10.613535479868434,88
